Designator,Mid X,Mid Y,Rotation,Layer
C1,11.5,37.75,90.0,top
C10,12.85,10.71,270.0,top
C11,17.5,14.57,270.0,top
C12,17.5,19.55,90.0,top
C13,22.25,21.1,180.0,top
C14,10.0,23.8,90.0,top
C15,7.5,15.82,90.0,top
C16,22.5,25.8,0.0,top
C17,9.75,37.75,270.0,top
C18,7.5,18.55,270.0,top
C19,9.65,10.7,90.0,top
C2,6.4,10.7,90.0,top
C20,10.65,10.7,90.0,top
C3,18.7,7.98,180.0,top
C5,2.3375,7.9825,90.0,top
C6,13.9,10.74,90.0,top
C7,11.5,23.8,270.0,top
C8,12.65,23.8,270.0,top
C9,7.6,10.7,270.0,top
CN1,12.5,42.0,180.0,top
D1,10.7,8.45,90.0,top
D2,14.45,8.43,270.0,top
D3,3.7125,44.0,180.0,top
F1,8.2,8.455,90.0,top
J2,12.5,1.0,0.0,top
R10,9.45,8.44,90.0,top
R11,15.7,8.44,90.0,top
R2,13.2,8.44,90.0,top
R3,11.95,8.43,90.0,top
R4,8.65,10.68,270.0,top
R5,19.7,24.6,0.0,top
R6,19.0,43.7,90.0,top
R7,3.5,42.0,180.0,top
R8,14.5,37.75,90.0,top
R9,13.0,37.75,90.0,top
SW1,21.75,42.5,0.0,top
U1,19.35,9.73,180.0,top
U4,12.5,18.0,270.0,top
U5,4.9,7.9625,180.0,top
Y1,22.4,23.4,90.0,top
